Sentence,QorA,,,,,,,,,,,,
Did his mother die of pneumonia ,1,,,,,,,,,,,,
"Is it derived from the Latin spoken by the romanized pre-Roman peoples of the Iberian Peninsula (namely the Gallaeci, the Lusitanians, the Celtici and the Conii) around 2000 years ago ",1,,,,,,,,,,,,
Why did Bequerel win the Nobel Prize in Physics ,1,,,,,,,,,,,,
Where is Jakarta located,1,,,,,,,,,,,,
"9  screens, but felt that was too much of a sacrifice .",0,,,,,,,,,,,,
"Does the Order Testudines not include both extant -LRB- living -RRB- and extinct species , the earliest known turtles being from around 215 million years ago ?",1,,,,,,,,,,,,
Was the arrival of Louis Kossuth (exiled leader of a failed Hungarian revolution) another issue that presented itself during Fillmore's presidency ,1,,,,,,,,,,,,
Who did Alessandro Volta marry ,1,,,,,,,,,,,,
" The hotel is set in an absolutely ideal location, offers great rates, and excellent conceirge   .",0,,,,,,,,,,,,
" Small, holds lots of songs, video, easy to use  .",0,,,,,,,,,,,,
 I switched over to the male voice which I happen to like better .,0,,,,,,,,,,,,
Good value in a good location .,0,,,,,,,,,,,,
Are there many words in Malay that use natural gender ,1,,,,,,,,,,,,
What happened with a bromide emulsion in two sheets of very thick black paper ,1,,,,,,,,,,,,
" The Video Recording Quality, Price, Size, Weight, Radio, Pedometer, Voice Over  .",0,,,,,,,,,,,,
" you can either move the screen to eliminate the glare, or move the lamp .",0,,,,,,,,,,,,
I love the capability of making the screen bigger or smaller with the mouse pad .,0,,,,,,,,,,,,
What will a giraffe use to clean off any bugs that appear on its face?,1,,,,,,,,,,,,
Do other landmarks include the Istiqlal Mosque as well as Jakarta Cathedral ,1,,,,,,,,,,,,
Who was the elder of two children of John Calvin Sr and Victoria Coolidge ,1,,,,,,,,,,,,
Do some caterpillars produce vibrations as well as sounds ,1,,,,,,,,,,,,
Are penguins astonishingly agile ,1,,,,,,,,,,,,
" Driver's seat is not fully adjustable using 8, way power seat which is very uncomfortable .",0,,,,,,,,,,,,
"Who was the first gymnast to score a perfect ""ten"" ",1,,,,,,,,,,,,
 I think the reason it didn't is because it wants to force the user to use the Windows Live toolbar that includes other features similar to what Google offers .,0,,,,,,,,,,,,
Is coulomb distinguished in the history  of mechanics  and  of electricity and  magnetism?,1,,,,,,,,,,,,
Who was the sponsor and mentor of Faraday?,1,,,,,,,,,,,,
Is Avogadro hailed as a founder of the atomic-molecular theory ,1,,,,,,,,,,,,
" All   of these features have worked 100% of the time, which is previously unheard of .",0,,,,,,,,,,,,
Was his father inspector of the Royal Fields?,1,,,,,,,,,,,,
 Video camera quality and sound are also surprising for such a small unit .,0,,,,,,,,,,,,
Have larger kangaroos adapted much better to changes ,1,,,,,,,,,,,,
" However, I much prefer robotic voices to no spoken directions at all .",0,,,,,,,,,,,,
Who graduated in ecclesiastical law at the early age of 20 and began to practice ,1,,,,,,,,,,,,
"Well, after all, as I said, great location, great view, NOTHING ELSE !",0,,,,,,,,,,,,
 It's also a shame that this model comes with a glossy screen .,0,,,,,,,,,,,,
What is the primary item in an otter's diet ,1,,,,,,,,,,,,
Did one places between the phosphorescent substance and the paper a piece of money or a metal screen not pierce with a cut-out design  ,1,,,,,,,,,,,,
heavy rearward weight bias so much that it wants to fall backwards  with the screen pushed back all the way,0,,,,,,,,,,,,
 I get better mileage with my BMW 325i .,0,,,,,,,,,,,,
